year,M_obs,W_obs,r_pf,a_pf,K_pf,r_gp_mean,a_gp_mean,K_gp_mean
2008.0,650.0,23.0,0.24925899800442922,0.0012414572417585625,1665.0106006052838,0.24925901411708842,0.0012414570918834742,1665.0095468880718
2009.0,530.0,24.0,0.2509939903513131,0.0012437355232157382,1660.4850996847067,0.25099402076564653,0.0012437353671187247,1660.4849330295458
2010.0,510.0,19.0,0.2555055698332461,0.0012425014543340327,1667.041698982149,0.2555055821795763,0.0012425014345515926,1667.0414891570874
2011.0,515.0,16.0,0.2601603884864079,0.00123901854755196,1676.8804697062726,0.26016040040765087,0.0012390184771814054,1676.8804457739977
2012.0,750.0,9.0,0.25962509995743294,0.0012395676939384427,1676.2256823226032,0.2596251063948822,0.001239567367527014,1676.2252451937945
2013.0,975.0,8.0,0.2597188234212365,0.001239942588971237,1676.089421017846,0.2597188313839165,0.0012399424397467552,1676.0892884083592
2014.0,1050.0,9.0,0.25993781620114853,0.001239652811404475,1677.1440995635028,0.25993782470777566,0.0012396523547520781,1677.143232553252
2015.0,1250.0,3.0,0.26108449960351254,0.0012394303335335774,1683.751056852968,0.26108450475976686,0.0012394300277503041,1683.7507621337008
2016.0,1300.0,2.0,0.26119273353351596,0.001238623900698523,1685.4781373779388,0.2611927381690911,0.0012386236930506773,1685.478290303857
2017.0,1600.0,2.0,0.2684140907458563,0.0012382297837183471,1704.0037935275302,0.2684141012484146,0.001238229403389956,1704.00376973643
2018.0,1475.0,2.0,0.26745882208926686,0.0012378536248135756,1699.8585167517026,0.2674588252458328,0.0012378537275608299,1699.8578559733226
2019.0,2060.0,15.0,0.26986133826838044,0.0012504249628501353,1787.5554738249698,0.26986135194882027,0.0012504244011307026,1787.5552538497761
